"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 15 14:06:03 UTC 2025","Mon Dec 15 14:06:03 UTC 2025","104","User Test Suite","Todos PUT DELETE test","tests.Positive.TodosPutDeleteTest","tests.Positive.TodosPutDeleteTest","PostTodoById","PostTodoById",""
"passed","Mon Dec 15 14:06:03 UTC 2025","Mon Dec 15 14:06:03 UTC 2025","148","User Test Suite","Photos GET test","tests.Positive.PhotosTest","tests.Positive.PhotosTest","getPhotosByAlbumId","getPhotosByAlbumId",""
"passed","Mon Dec 15 14:06:03 UTC 2025","Mon Dec 15 14:06:03 UTC 2025","115","User Test Suite","Albums GET test","tests.Positive.AlbumsTest","tests.Positive.AlbumsTest","getAlbumsByUserId","getAlbumsByUserId",""
"passed","Mon Dec 15 14:06:03 UTC 2025","Mon Dec 15 14:06:03 UTC 2025","117","User Test Suite","Albums PUT DELETE test","tests.Positive.AlbumsPutDeleteTest","tests.Positive.AlbumsPutDeleteTest","updateAlbumById","updateAlbumById",""
"passed","Mon Dec 15 14:06:03 UTC 2025","Mon Dec 15 14:06:03 UTC 2025","78","User Test Suite","Update post by Id","tests.Positive.PutPostTest","tests.Positive.PutPostTest","putRandomPost","Update post with random fileds and verify response",""
"passed","Mon Dec 15 14:06:02 UTC 2025","Mon Dec 15 14:06:03 UTC 2025","146","User Test Suite","Post posts by User","tests.Positive.PostPostTest","tests.Positive.PostPostTest","postRandomPost","POST random Post request and verify response",""
"passed","Mon Dec 15 14:06:00 UTC 2025","Mon Dec 15 14:06:02 UTC 2025","2383","User Test Suite","Parallel User Test","tests.Positive.UserTests","tests.Positive.UserTests","validateUserSchema","validateUserSchema",""
"passed","Mon Dec 15 14:06:03 UTC 2025","Mon Dec 15 14:06:03 UTC 2025","80","User Test Suite","Albums GET test","tests.Positive.AlbumsTest","tests.Positive.AlbumsTest","createAlbum","createAlbum",""
"passed","Mon Dec 15 14:06:02 UTC 2025","Mon Dec 15 14:06:02 UTC 2025","79","User Test Suite","Get Comments by Id","tests.Positive.GetCommentsByPostTest","tests.Positive.GetCommentsByPostTest","getCommentsByPostPath","Get comments by post ID using path",""
"passed","Mon Dec 15 14:06:03 UTC 2025","Mon Dec 15 14:06:03 UTC 2025","62","User Test Suite","Photos GET test","tests.Positive.PhotosTest","tests.Positive.PhotosTest","getPhotoById","getPhotoById",""
